17-34, Private, Some-college, Machine-op-inspct, Amer-Indian-Eskimo, Male,20-39, <=50K
17-34, Private, 7th-8th, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, 5th-6th, Machine-op-inspct, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Local-gov, HS-grad, Exec-managerial, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Self-emp-not-inc, HS-grad, Farming-fishing, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, Some-college, Prof-specialty, Amer-Indian-Eskimo, Male,60-79, <=50K
17-34, Private, HS-grad, Adm-clerical, Amer-Indian-Eskimo, Male,40-59, >50K
17-34, Private, HS-grad, Machine-op-inspct, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Self-emp-not-inc, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Self-emp-inc, Some-college, Prof-specialty, Amer-Indian-Eskimo, Male,20-39, <=50K
17-34, Private, HS-grad, Handlers-cleaners, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, HS-grad, Prof-specialty, Amer-Indian-Eskimo, Male,0-19, <=50K
35-49, Private, HS-grad, Farming-fishing, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, HS-grad, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Self-emp-not-inc, Some-college, Exec-managerial, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, State-gov, HS-grad, Protective-serv, Amer-Indian-Eskimo, Male,40-59, >50K
35-49, Local-gov, HS-grad, Other-service, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Self-emp-not-inc, Some-college, Sales, Amer-Indian-Eskimo, Male,60-79, <=50K
17-34, Private, HS-grad, Handlers-cleaners, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Local-gov, Some-college, Adm-clerical, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, Bachelors, Prof-specialty, Amer-Indian-Eskimo, Male,60-79, >50K
35-49, Private, HS-grad, Exec-managerial, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, 10th, Handlers-cleaners, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Local-gov, Masters, Prof-specialty, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Local-gov, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, Some-college, Sales, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, HS-grad, Handlers-cleaners, Amer-Indian-Eskimo, Male,0-19, <=50K
50-65, Private, HS-grad, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Federal-gov, HS-grad, Farming-fishing, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, State-gov, Masters, Adm-clerical, Amer-Indian-Eskimo, Male,40-59, >50K
17-34, Private, Some-college, Craft-repair, Amer-Indian-Eskimo, Male,60-79, <=50K
50-65, Self-emp-not-inc, Some-college, Exec-managerial, Amer-Indian-Eskimo, Male,60-79, <=50K
35-49, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, >50K
35-49, Private, Bachelors, Other-service, Amer-Indian-Eskimo, Male,20-39, >50K
35-49, Private, Some-college, Prof-specialty, Amer-Indian-Eskimo, Male,40-59, >50K
35-49, State-gov, HS-grad, Other-service, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, State-gov, Bachelors, Prof-specialty, Amer-Indian-Eskimo, Male,20-39, >50K
35-49, Private, HS-grad, Machine-op-inspct, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, Some-college, Prof-specialty, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Private, 7th-8th, Exec-managerial, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, Some-college, Adm-clerical, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,60-79, <=50K
17-34, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, Some-college, Craft-repair, Amer-Indian-Eskimo, Male,40-59, >50K
50-65, Private, 11th, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, Assoc-voc, Transport-moving, Amer-Indian-Eskimo, Male,60-79, <=50K
35-49, Private, HS-grad, Prof-specialty, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Self-emp-not-inc, Some-college, Craft-repair, Amer-Indian-Eskimo, Male,60-79, <=50K
17-34, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,60-79, <=50K
17-34, Private, Some-college, Exec-managerial, Amer-Indian-Eskimo, Male,40-59, <=50K
65+, Private, 10th, Transport-moving, Amer-Indian-Eskimo, Male,20-39, <=50K
35-49, Private, Some-college, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, Some-college, Prof-specialty, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, HS-grad, Sales, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, 5th-6th, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Private, Some-college, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Local-gov, Assoc-voc, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, HS-grad, Machine-op-inspct, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, 9th, Farming-fishing, Amer-Indian-Eskimo, Male,40-59, <=50K
