17-34, Private, School, Handlers-cleaners, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
35-49, Local-gov, Bachelors, Prof-specialty, White, Female,40-59, <=50K,,,,
50-65, Private, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
65+, Private, School, Transport-moving, Amer-Indian-Eskimo, Male,20-39, <=50K,,,,
35-49, Private, School, Other-service, Asian-Pac-Islander, Male,60-79, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,60-79, <=50K,,,,
35-49, Private, Assoc-voc, Exec-managerial, White, Male,40-59, >50K,,,,
50-65, Self-emp-not-inc, Bachelors, Adm-clerical, White, Female,20-39, >50K,,,,
17-34, Self-emp-not-inc, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, Self-emp-not-inc, Masters, Sales, White, Male,80+, >50K,,,,  
50-65, State-gov, School, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
50-65, Private, School, Other-service, Black, Male,40-59, <=50K,,,,
50-65, Private, School, Adm-clerical, Black, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, School, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Self-emp-not-inc, Assoc-voc, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, State-gov, Bachelors, Exec-managerial, White, Female,20-39, >50K,,,,
17-34, Private, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
17-34, Private, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
35-49, Private, Bachelors, Prof-specialty, White, Female,0-19, >50K,,,,
50-65, Private, HS-grad, Craft-repair, White, Male,20-39, <=50K,,,,
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
50-65, Self-emp-not-inc, Masters, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Private, Masters, Exec-managerial, White, Female,40-59, >50K,,,,
35-49, Private, School, Craft-repair, Black, Male,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, Black, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, Black, Male,40-59, <=50K,,,,
17-34, Private, School, Farming-fishing, White, Male,40-59, <=50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,20-39, <=50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
17-34, Private, School, Transport-moving, White, Male,20-39, <=50K,,,,
50-65, Private, School, Transport-moving, White, Male,60-79, <=50K,,,,
